Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
1,-231.66633818823,-227.772446483299,372.865220496228,548.902411980926,-169.950646419954,-315.939520284219,-317.68763485925,-140.380996880942,-173.921656086764,-250.7960904097,183.257383910302,356.935976692022,58.1748532251909,835.518305236347,972.956730985418,418.993074048617,-436.239906233217,919.961563950574,-224.490465280726,-521.064306446559,586.841239202745,565.804229502022,-557.488306464801,-395.376778495675
2,-247.040218848982,104.164245645999,-108.935135985915,211.180714996563,-293.295042460651,-40.6219862527128,62.4974557243718,11.9993457372784,4.07040244090285,-218.115780764401,250.242232966705,175.393727800131,619.067533838232,525.693734914378,842.236961954542,707.843578231379,-485.541715095473,1053.1132602604,-193.16053941778,-398.744505329525,284.564627728284,503.438719182962,-1352.7959411686,-835.463460081732
3,36.4539106770617,86.3817443193134,-121.673564895073,-228.680464368179,-95.9097456570835,38.6726457836216,52.2618323345491,36.162082884809,-21.7316875253382,-141.584702391333,-23.2827514886103,-131.118685600314,720.67364206696,546.615221329647,730.359355410958,1.81846646649956,-550.04746909118,1030.79106984811,-272.435030747039,-645.680542819878,243.630339570818,458.972545893306,-1234.79846319184,-625.847869991973
4,151.350580884569,129.142532590423,-32.5519752817881,-419.902514704425,256.817100886517,160.522990140829,126.961352660566,103.346015929098,106.750501401982,-51.0364302570151,-76.3474325887328,-305.700865344607,750.639365653923,498.326949185137,719.97706200364,67.3491237399567,-618.382052741526,1155.7968176059,-208.481869370434,-771.058282666839,44.276025147542,762.951276279182,-1417.5546506298,-734.183576339876
5,290.90206547558,-91.9160760724367,-109.704544333453,-111.500147904884,302.338333651171,157.365870612483,75.9669941397633,-11.126447670244,84.8324397692154,661.533003822449,-333.869432799662,-95.5101535472309,924.622581788138,541.579452921369,718.093489594954,-627.388574477751,-330.643104785122,1023.62325811386,-125.290505836278,-826.416271977852,26.4675517822579,397.243917319367,-1454.24477856589,-743.333482081093
6,260.186403542545,23.3043995093726,158.22907875716,-416.242789390333,574.516778858101,228.96632156807,64.3547700989352,-25.0861698716594,86.4879052824981,363.776297671582,-381.616088485236,-491.70644859704,859.081088128871,539.674837643391,646.112279248348,-413.234772904965,-594.666455669642,1068.28704679186,-57.8804506757015,-955.313922541285,-51.0827875529658,644.127036105005,-1530.68483242532,-1043.32040470371
7,290.756534545903,-184.965038908764,213.907267172146,-202.004996756851,428.372049001785,102.010032506553,-145.013479749347,-199.997274692249,-6.19514288374421,758.096301718027,-455.029536012541,-281.3311563653,988.041343767406,645.501689138066,714.627389021056,-625.737169926832,-410.323097932262,1021.18916501405,-64.2590959627,-820.848647091945,-38.4861049002366,313.583880895081,-1404.01600223565,-1110.90326908513
8,292.236679110745,-31.1588632972353,282.207295550634,-160.073378532293,727.062069511055,191.108522659019,-126.280585129368,-163.000259682505,64.1951660394079,740.65211590026,-396.330069789485,-456.811866052633,974.048887744577,439.771120495573,553.807317298028,-113.44084923363,-741.024099537899,1169.16636640828,-206.257518342559,-772.911595234126,-206.866368834088,574.507671308869,-1347.39145341933,-1217.96587884188
9,366.931485531101,-140.961665485296,71.2423120318481,36.4631042657256,314.438737670299,145.656715848169,-119.959986370827,-317.488529902592,-107.479970886021,900.546057725186,-676.091638438447,-410.944870235569,1279.22778747981,419.42087695782,451.767269282737,-277.197812516554,-849.775290369836,944.240866843784,-264.522655328937,-675.193513941809,-174.391675304624,86.7003758806513,-1228.24287263214,-1330.57469187036
10,362.630101437171,2.30329579438512,279.938248214576,-53.7200251227405,471.957517815619,133.832961893175,-92.7632648314448,-262.064614862571,-33.418281035471,264.360836580903,-518.968317620443,-605.506053987513,1038.31194675061,271.086156676868,338.962871230433,254.711576740739,-989.911967319998,1013.58008935819,-530.970871783014,-650.767063196683,-228.012803916629,295.302613697981,-1133.01372995526,-970.727340987097
