Trial,Stim_Fast_Mean,Stim_Slow_Mean,Recovery_Fast_Mean,Recovery_Slow_Mean
1,-3.92688648309134,-57.0988362723887,461.560770202155,-90.9623979971657
2,-62.4245704842832,47.6812306508314,543.735559017243,-332.026849847732
3,-47.4592456900564,-38.2156519643729,413.368381005167,-346.026503547768
4,40.8964524193541,-16.0044763664514,428.951210907839,-387.341846263372
5,72.9142502380766,63.6377339523819,374.981183859241,-454.262261559915
6,138.160032140819,-63.9649556501533,350.875670539644,-499.02589363233
7,108.012641260129,-54.9117146641922,388.883219846915,-520.821539730097
8,216.897054166987,-56.2625831190538,380.388123862488,-529.480857227186
9,132.295114976975,-121.903156351378,327.947282946293,-597.704172199535
10,199.490350005364,-208.059949292757,321.123445572808,-536.364866023451
11,158.880354404056,-181.675409608575,346.280574058205,-590.290216754542
12,173.123143671451,-166.403073044923,351.25020551822,-560.603539068052
13,108.881624419804,-103.351822608265,337.137314765245,-558.216214425146
14,202.233757901728,-31.4510506530172,362.625848382894,-437.199719666169
15,136.272950270196,-95.3748881928972,412.48106603862,-343.726778471672
16,153.643793297112,-107.383114940857,376.341376061948,-186.019107923286
17,122.977265795308,-107.866574293972,338.634958577264,-284.683291932323
18,182.672604168142,-246.730521842555,330.613423647908,-152.425291004473
19,90.7352239336618,-380.963028724765,318.926692421492,-195.952351901633
20,109.185192013755,-441.719775192159,286.684546081155,-239.471907866708
21,104.212921613834,-405.217248041249,290.106595417755,-353.178784895917
22,141.316539432868,-390.67929369526,441.825059146087,-335.478574465434
23,150.248306814402,-343.626818146504,533.803832704099,-444.448211964567
24,160.392719175685,-283.128820953256,509.938494750712,-436.13775456724
25,173.112390375387,-159.563775533399,510.527778741921,-491.675014125712
26,251.167641040306,-113.369277578197,534.556202226055,-436.813477542533
27,231.319990129566,-90.5803902489478,438.87483189956,-389.100990226373
28,189.536279181296,3.80708206475485,411.474408909291,-356.588182512514
29,122.779660188025,9.25084151753625,367.896282861375,-382.80458950607
30,83.737642321779,-51.0832727097085,384.431965490878,-211.946289012511
31,-21.2992659205622,-99.7987365738185,375.862846511006,-163.796179539694
32,-23.7615224723002,-185.985613742084,336.02664169925,-120.181942566552
33,28.1783010782428,-328.32108280267,312.794461659292,-70.2238403762894
34,134.990526678183,-295.197211616036,396.698365030488,-37.4259385595824
