Trial,Stim_Fast_sub001,Stim_Fast_sub002,Stim_Fast_sub003,Stim_Fast_sub004,Stim_Fast_sub005,Stim_Fast_sub006,Stim_Slow_sub001,Stim_Slow_sub002,Stim_Slow_sub003,Stim_Slow_sub004,Stim_Slow_sub005,Stim_Slow_sub006,Recovery_Fast_sub001,Recovery_Fast_sub002,Recovery_Fast_sub003,Recovery_Fast_sub004,Recovery_Fast_sub005,Recovery_Fast_sub006,Recovery_Slow_sub001,Recovery_Slow_sub002,Recovery_Slow_sub003,Recovery_Slow_sub004,Recovery_Slow_sub005,Recovery_Slow_sub006
22,1482.28306494703,-733.683091880704,247.949058430109,237.453154966681,301.183132133533,526.922806130444,-333.368744806105,-449.333955786864,-649.565770132283,282.303050076986,-2637.92253367664,-900.263570018209,1540.30777348125,-58.7096186614772,668.373051510455,1347.41745089475,484.972424999721,1685.84927906102,-465.410842859739,-857.163547739524,-645.995222365593,1389.13929777823,-2447.30562127614,-999.006957122442
23,1936.26926679408,-771.847410573298,-24.3508324994964,669.361891274011,12.141001241187,347.71541706902,-357.455480504144,-674.606537704773,-648.398050063968,921.037590390206,-2494.56927141996,-869.530068455408,1916.36832352391,235.005420307682,1069.06618491288,967.550983397601,1185.06737738439,1398.8973544554,-688.554184412747,-755.012629011132,-737.03553952507,1115.56238606746,-2426.73453697421,-1841.60403971911
24,1933.02678875077,-485.54125133356,-18.57595470246,124.397910829573,264.841498487677,472.873289608895,-557.192882338149,-250.62421707417,-572.956067836364,1020.8485212643,-2536.7279116105,-500.893293844196,1852.22020271246,187.388007403629,969.655196026144,870.170474279077,754.671058198222,1851.46664992168,-840.819206960694,-954.181709434868,-723.66026448892,1658.80198932699,-2959.59914741442,-1414.19471583498
25,1877.65286617235,-699.033030530821,-257.021051842595,614.408945593928,402.749496696565,504.901109947897,-372.548926605837,-372.28696093621,-478.665035655831,1846.12624974678,-2242.82098812713,-294.569644822554,2264.7172890192,243.707040011823,1252.08137693202,247.373917058756,908.684932917017,1576.07844049691,-995.413368457476,-805.411917552238,-675.581113311867,858.04645050695,-2757.59672432833,-1524.14349636558
26,1689.82587758884,-412.697151704786,-14.365122111135,328.169596790152,1054.59541597012,734.792727483162,-205.139836764762,-161.971726240781,-473.741944874479,1760.94738622811,-1537.96935504528,-742.555854241173,2394.32485467066,-11.1640292565235,1104.35052898812,927.352743960822,500.171828906182,1865.94815097608,-989.560081614247,-909.917400580605,-680.534102067696,1471.84864999806,-2899.67061407125,-1233.92818217466
27,1370.16748861321,-616.959528601955,91.6985005566448,-80.2195041266914,1487.03808581529,890.424490830977,-509.157068708583,-428.813172830864,-860.625227284729,2393.20105182345,-1168.87441289148,-512.695853095168,2716.06110904212,-328.775492306987,1150.04404496686,75.5485386012078,362.043764261715,1657.88566976248,-830.498614717747,-688.160819620178,-883.597969196879,875.437696538183,-2336.94415729753,-805.448018422317
28,707.759767997808,-374.253671055546,198.039903851294,-847.069047458872,1872.5714774591,1083.69657091444,-309.583050680902,85.7049872113294,-704.440379866473,2244.14994690475,-907.091322039279,-363.055196752368,2534.26770874438,-553.845914760231,854.430100089842,670.612683701205,-311.929568435901,2110.46754910487,-888.002051916631,-970.535251159248,-922.400374203957,1320.20375204558,-2470.78706354716,-347.537201368748
29,429.777625921482,-644.030943339237,89.7868835694671,-509.442818549896,1628.89255022815,844.682275959015,-462.094603001479,-177.553114203322,-834.597617715674,2739.9295141099,-1058.06362907637,-96.6104519026248,2552.50295406074,-597.79772349232,969.597182490637,608.668949135375,-336.137556172405,1584.23123984714,-733.803072280968,-957.734604409464,-878.402490495176,993.54418276423,-1806.53932317798,-1210.71976647348
30,611.404258916507,-356.694059186641,387.285863218257,-1577.50528244506,1460.13543572045,846.535143170508,-467.704612756776,-315.484566591334,-640.150547575944,2419.72889399978,-1446.61745750198,-162.770982090251,2346.23864246414,-808.742072568901,766.667162454736,1127.37901445858,-757.560187526748,2305.51067814141,-555.870974741293,-1015.05465505307,-748.668319218094,1734.9637697812,-1774.61803713927,-184.107251779604
31,612.397740285772,-414.987226567794,138.189388388766,-1319.62011872783,403.556911545818,691.181765561199,-480.936871512996,-775.029069356375,-639.352133209904,3054.46317260148,-2175.8681823302,-180.861755077833,2485.35021319204,-559.499717197247,713.67162418212,537.114811042768,-633.139313652827,2333.1661920979,-322.706711997856,-953.678340391169,-698.836163931477,1598.61091837994,-1488.07904255358,-100.864813982182
